ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:1-3/COM:3A,C3L/LC/COM5,TOTAL,1.0,1089786.0,272446.0,0.0,435.0,1362232.0,190.0,0.0,435.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:1-3/COM:3B,C3L/LC/COM3,TOTAL,3014.0,1531871556.0,382967605.0,0.0,611526.0,1914840040.0,266813.0,0.0,203.0,2505.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:1-3/IND:1,C3L/LC/IND1,TOTAL,232.0,342890151.0,114296745.0,0.0,266219.0,457186846.0,117220.0,0.0,1147.0,1288.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:1-3/IND:2,C3L/LC/IND2,TOTAL,10.0,17784307.0,5928105.0,0.0,13808.0,23712412.0,6080.0,0.0,1381.0,1288.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:1-3/IND:3,C3L/LC/IND3,TOTAL,4.0,8270378.0,2756792.0,0.0,6421.0,11027169.0,2827.0,0.0,1605.0,1288.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:1-3/IND:4,C3L/LC/IND4,TOTAL,10.0,11714746.0,3904915.0,0.0,9095.0,15619663.0,4005.0,0.0,910.0,1288.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:1-3/IND:6,C3L/LC/IND6,TOTAL,618.0,735823711.0,245274565.0,0.0,571292.0,981098349.0,251549.0,0.0,924.0,1288.0,,
CAN,Canada,RES,CR-,CR/LFINF/CDL+ERL/H:1-3/RES:2,C3L/LC/RES3F,TOTAL,2.0,32270963.0,5694876.0,41.0,14543.0,37965839.0,3934.0,123.0,7272.0,2219.0,,
CAN,Canada,RES,CR-,CR/LFINF/CDL+ERL/H:1-3/RES:2,C3L/LC/RES3E,TOTAL,7.0,38499460.0,6794024.0,97.0,17350.0,45293480.0,4693.0,197.0,2479.0,2219.0,,
CAN,Canada,RES,CR-,CR/LFINF/CDL+ERL/H:1-3/RES:2,C3L/LC/RES3D,TOTAL,14.0,40569096.0,7159251.0,362.0,18283.0,47728347.0,4945.0,205.0,1306.0,2219.0,,
CAN,Canada,RES,CR-,CR/LFINF/CDL+ERL/H:1-3/RES:2,C3L/LC/RES3C,TOTAL,23.0,38426648.0,6781177.0,308.0,17317.0,45207825.0,4684.0,161.0,753.0,2219.0,,
CAN,Canada,RES,CR-,CR/LFINF/CDL+ERL/H:1-3/RES:3,C3L/LC/RES4,TOTAL,100.0,709783128.0,125255852.0,2091.0,319866.0,835038980.0,86520.0,100.0,3199.0,2219.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM:1,C3M/LC/COM1,TOTAL,77.0,138360507.0,34590131.0,0.0,55234.0,172950640.0,24179.0,0.0,717.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM:2,C3M/LC/COM2,TOTAL,257.0,896935320.0,224233837.0,0.0,358058.0,1121169147.0,156741.0,0.0,1393.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM:3,C3M/LC/COM4,TOTAL,102.0,850313325.0,212578321.0,0.0,339446.0,1062891642.0,148593.0,0.0,3328.0,2505.0,,
CAN,Canada,COM,CR-,CR/LFINF/CDL+ERL/H:4-7/COM:3B,C3M/LC/COM3,TOTAL,173.0,137521827.0,34380429.0,0.0,54899.0,171902366.0,24033.0,0.0,317.0,2505.0,,
CAN,Canada,IND,CR-,CR/LFINF/CDL+ERL/H:4-7/IND:1,C3M/LC/IND1,TOTAL,36.0,71317327.0,23772449.0,0.0,55371.0,95089765.0,24477.0,0.0,1538.0,1288.0,,
