ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VIR,US Virgin Islands,Res,MUR,RES3A-URML-PC,506.9,111070264,191500805,30657901,1679.6144890385813,152386.64134074847,333228970,300.6246623411885,2186.7334765576593
VIR,US Virgin Islands,Res,MUR,RES3B-URML-LC,615.7,161706944,278811735,44635753,3144.879734071561,251445.5128338052,485154432,408.3896586548728,1929.4614826579405
VIR,US Virgin Islands,Res,MUR,RES3B-URML-PC,153.8,40426736,69702933,11158939,786.2147543634034,62861.3782084513,121288608,408.72157482738163,1929.4614826579405
VIR,US Virgin Islands,Res,MUR,RES3C-URML-LC,127.0,127713936,220188964,35250668,1268.1491788062124,108311.71927151305,383153568,852.8481832402603,3537.5079499894227
VIR,US Virgin Islands,Res,MUR,RES3C-URML-PC,31.9,31928484,55047240,8812668,317.0284611388842,27077.929817878263,95788392,848.8379253253374,3537.5079499894227
VIR,US Virgin Islands,Res,MUR,RES3D-URML-LC,137.4,140433024,242115802,38760998,1735.235993482311,127498.06156331285,421309824,927.9334902715636,3304.441015291722
VIR,US Virgin Islands,Res,MUR,RES3D-URML-PC,34.5,35108256,60528952,9690248,433.81051365956336,31874.515390828212,105327456,923.8989968356003,3304.441015291722
VIR,US Virgin Islands,Res,MUR,RES3E-URML-LC,13.6,30746560,53008381,8486259,369.22560545718255,27813.043871551334,92241200,2045.0767552611276,3316.472674691648
VIR,US Virgin Islands,Res,MUR,RES3E-URML-PC,3.6,7686640,13252093,2121567,92.29438718455503,6953.260967887833,23060300,1931.4613799688425,3316.472674691648
VIR,US Virgin Islands,Res,MUR,RES3F-URML-LC,0.7,6968096,12013114,1923214,83.0070238831074,6804.84765625,20904424,9721.2109375,3071.9900071238276
VIR,US Virgin Islands,Res,MUR,RES3F-URML-PC,0.1,965566,1664665,266501,9.736991451034273,942.9521484375,2896732,9429.521484375,3071.981971513583
VIR,US Virgin Islands,Res,MUR,RES4-URML-LC,441.0,325724400,562870424,88599976,3209.930822372461,306053.626212844,977194800,693.999152410077,3192.887508283967
VIR,US Virgin Islands,Res,MUR,RES4-URML-PC,146.9,108574800,187623474,29533326,1069.9578731720212,102017.87540428132,325731600,694.4715820577353,3192.8875082839672
VIR,US Virgin Islands,Res,MUR,RES5-URML-LC,13.299999999999999,21011603,34126296,7901162,323.88041381178556,17945.711403321257,63039060,1349.301609272275,3512.7646145213953
VIR,US Virgin Islands,Res,MUR,RES5-URML-PC,4.4,7003869,11375432,2633721,107.96102144169205,5981.903943496379,21013019,1359.5236235219043,3512.7643637350093
VIR,US Virgin Islands,Res,MUR,RES6-URML-LC,8.3,19187610,31314498,7061112,206.71447374239338,15150.26056060008,57563220,1825.33259766266,3799.487128934237
VIR,US Virgin Islands,Res,MUR,RES6-URML-PC,2.8,6395870,10438166,2353704,68.9205697054119,5050.086853533359,19187740,1803.6024476904856,3799.4871289342373
VIR,US Virgin Islands,Res,OT,RES2-MH-MC,315.2,6702400,10160643,3279357,285.2927928218521,23511.559987182914,20142400,74.592512649692,856.7019802590905
VIR,US Virgin Islands,Res,OT,RES2-MH-PC,78.8,1675600,2540157,819843,71.3047055709571,5877.889996795729,5035600,74.592512649692,856.7019802590905
VIR,US Virgin Islands,Res,RC,RES3A-C1L-MC,82.2,18026159,31079638,4975626,272.6276007161269,24731.60148584997,54081423,300.87106430474415,2186.7335615504862
VIR,US Virgin Islands,Res,RC,RES3A-C1L-PC,41.1,9003268,15522889,2485104,136.25031185850858,12352.32167634983,27011260,300.5431064805311,2186.735474329224
VIR,US Virgin Islands,Res,RC,RES3A-C2L-MC,987.4,216313892,372955667,59707520,3271.0586530669284,296779.2308744597,648977076,300.5663670999187,2186.733465437557
VIR,US Virgin Islands,Res,RC,RES3A-C2L-PC,260.8,57082833,98418856,15756152,863.1940990943385,78316.74170058363,171257840,300.2942549869004,2186.7334656840526
VIR,US Virgin Islands,Res,RC,RES3B-C1L-MC,29.9,7796585,13442708,2152080,151.64714567821645,12123.264553055378,23391377,405.4603529449959,1929.4618951546977
VIR,US Virgin Islands,Res,RC,RES3B-C1L-PC,14.6,3898293,6721354,1076041,75.79924816062025,6061.633054434765,11695688,415.180346194162,1929.4615650551946
VIR,US Virgin Islands,Res,RC,RES3B-C2L-MC,356.2,93559017,161312504,25824970,1819.5310744467836,145479.1886347625,280696492,408.41995686345456,1929.4614895379411
VIR,US Virgin Islands,Res,RC,RES3B-C2L-PC,94.1,24689185,42568577,6814922,480.16066477416393,38390.34060306377,74072683,407.9738640070539,1929.4614696408444
VIR,US Virgin Islands,Res,RC,RES3C-C1L-MC,10.0,10222173,17623817,2821447,101.71237071075863,8669.262714070606,30667437,866.9262714070607,3537.4907891792645
VIR,US Virgin Islands,Res,RC,RES3C-C1L-PC,5.1000000000000005,5092282,8779466,1405529,50.708048907100185,4318.696985095532,15277275,846.8033304108885,3537.4732361923416
VIR,US Virgin Islands,Res,RC,RES3C-C2L-MC,122.5,123152724,212325071,33991717,1222.8342807689846,104443.44358324472,369469512,852.5995394550589,3537.507949989423
VIR,US Virgin Islands,Res,RC,RES3C-C2L-PC,32.300000000000004,32498638,56030226,8970036,322.7144470637297,27561.46364983226,97498900,853.2960882301008,3537.5080670141906
VIR,US Virgin Islands,Res,RC,RES3D-C1L-MC,9.3,9611739,16571251,2652938,118.80484730928413,8726.41274923181,28835929,938.323951530302,3304.4424815384123
